,num_words,use_tfidf,model,accuracy,precision,recall,f1,auc
59,300,True,tree100,0.5469568079215607,0.5771710023476089,0.5961429144308881,0.5864954133003086,0.5158633477158928
60,310,True,log,0.5422674978472143,0.7353376890887466,0.23437146916072688,0.355442133609662,0.6844635990580789
61,310,True,tree100,0.5484286120852644,0.5779149109916786,0.5986856393569668,0.5881112494291045,0.5189298049252187
62,320,True,log,0.5433118302257693,0.7360683799354891,0.23711369916853994,0.35865313648811703,0.6862803054689115
63,320,True,tree100,0.5504671101196802,0.5799731459987687,0.5995409964819391,0.5895916904878161,0.5206379094621534
64,330,True,log,0.5444626424465315,0.7371307309171972,0.24207198108890987,0.3644449960811856,0.684663644001366
65,330,True,tree100,0.5513332444142488,0.5815511358605816,0.6008063839624647,0.5910168361446055,0.5188220666801626
66,340,True,log,0.5454723717200173,0.7370522630481469,0.24460955269143286,0.36729961176971393,0.6853264973728207
67,340,True,tree100,0.5490218384232556,0.5792738989526258,0.5987717968157695,0.588848214859422,0.517548209784406
68,350,True,log,0.5456893478671434,0.7380548701201695,0.24531248546680243,0.36821347312351804,0.6808392274875504
69,350,True,tree100,0.5514520845198578,0.5815442528998543,0.6022930313536301,0.5917331378608763,0.5146411605877551
70,360,True,log,0.5463208035010194,0.7366535968015567,0.24871351375743664,0.37185495171808014,0.6829355426990392
71,360,True,tree100,0.5520986465331925,0.5826519826007353,0.6009352845309446,0.5916505158657679,0.5166135692310212
72,370,True,log,0.5482661185023601,0.7373448589482047,0.24933180608302435,0.37256673788764316,0.6860838042047281
73,370,True,tree100,0.5516816739001443,0.581102686777197,0.5976736228271691,0.5892624516167545,0.5192689386276128
74,380,True,log,0.5460122236416863,0.7343663101622726,0.24825497766674237,0.37105442747797673,0.6845424809080902
75,380,True,tree100,0.5500882242151064,0.5803735053467951,0.5994246347187524,0.5897441351687787,0.5156279050339179
76,390,True,log,0.5484997696085213,0.7399109060968474,0.24940134982024814,0.37304660896329883,0.6810473336338683
77,390,True,tree100,0.5505893086655429,0.580247669041252,0.5987026135231683,0.5893134704452502,0.5148065796143712
78,400,True,log,0.5477529404751532,0.7369511017537446,0.2537867991006024,0.37752659413630507,0.6856135068752582
79,400,True,tree100,0.5500379486076827,0.5809935091416263,0.6002234924154183,0.5904496735179714,0.5199603210553094
80,410,True,log,0.549850378995296,0.7380599591265127,0.2562043520573809,0.3803531363559346,0.6868258568656356
81,410,True,tree100,0.5534306088818812,0.5834888662447366,0.6006533552445745,0.5919446725294949,0.5196333791051663
82,420,True,log,0.550919263731446,0.7397281739468001,0.2606557668109676,0.38546542798393346,0.6853035298538597
83,420,True,tree100,0.5550267176665095,0.5858084353203801,0.6024554054160108,0.5940125579330469,0.5196310252214127
84,430,True,log,0.5525942538671998,0.740703063172978,0.261038520443391,0.3860067248147225,0.688922296443908
85,430,True,tree100,0.5526838861521707,0.5829150642076109,0.5970634188112925,0.5899017778023258,0.5246214560370164
86,440,True,log,0.5513564079156805,0.7377036065754432,0.25985672239011764,0.38430795393126843,0.6903188057381817
87,440,True,tree100,0.5527739829226999,0.582745687960884,0.5989599523299296,0.5907345664958104,0.5187898110445738
88,450,True,log,0.5520900031606397,0.73896741336851,0.2608071342200725,0.3855313048983195,0.6866528872716798
89,450,True,tree100,0.5528881492325931,0.5828771423120038,0.5982315598548972,0.5904476790974633,0.5242870955115779
